Tanggal_Penerbangan,Hari,Maskapai,Nomor_Penerbangan,Bandara_Asal,Kode_IATA_Asal,Bandara_Tujuan,Kode_IATA_Tujuan,Jadwal_Keberangkatan,Jadwal_Kedatangan,Kota_tujuan,Cuaca_tujuan,Deskripsi_tujuan,Suhu_Celcius_tujuan,Kelembaban_%_tujuan,Tekanan_hPa_tujuan,Kecepatan_Angin_m/s_tujuan,Tanggal_tujuan
2025-07-28,Senin,China Airlines,CI9782,Soekarno-Hatta International,CGK,Juanda,SUB,525,625,Surabaya,Thunderstorm,badai petir,24.0,75,1014,1.8,2025-07-28
2025-07-28,Senin,Philippine Airlines,PR3278,Soekarno-Hatta International,CGK,Juanda,SUB,525,625,Surabaya,Thunderstorm,badai petir,24.0,75,1014,1.8,2025-07-28
2025-07-28,Senin,Vietnam Airlines,VN3876,Soekarno-Hatta International,CGK,Juanda,SUB,525,625,Surabaya,Thunderstorm,badai petir,24.0,75,1014,1.8,2025-07-28
2025-07-28,Senin,KLM,KL4054,Soekarno-Hatta International,CGK,Juanda,SUB,525,625,Surabaya,Thunderstorm,badai petir,24.0,75,1014,1.8,2025-07-28
2025-07-28,Senin,Lion Air,JT241,Soekarno-Hatta International,CGK,Juanda,SUB,540,625,Surabaya,Thunderstorm,badai petir,24.0,75,1014,1.8,2025-07-28
2025-07-28,Senin,Malaysia Airlines,MH4018,Soekarno-Hatta International,CGK,Juanda,SUB,525,625,Surabaya,Thunderstorm,badai petir,24.0,75,1014,1.8,2025-07-28
2025-07-28,Senin,Lion Air,JT694,Soekarno-Hatta International,CGK,Juanda,SUB,540,625,Surabaya,Thunderstorm,badai petir,24.0,75,1014,1.8,2025-07-28
2025-07-28,Senin,Garuda Indonesia,GA322,Soekarno-Hatta International,CGK,Juanda,SUB,525,625,Surabaya,Thunderstorm,badai petir,24.0,75,1014,1.8,2025-07-28
2025-07-28,Senin,Super Air Jet,IU740,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,460,630,Denpasar,Clear,cerah,27.5,74,1006,3.1,2025-07-28
2025-07-28,Senin,China Airlines,CI8616,Soekarno-Hatta International,CGK,Hasanudin,UPG,415,630,Makassar,Clouds,berawan,24.6,78,1010,2.0,2025-07-28
2025-07-28,Senin,Etihad Airways,EY8091,Soekarno-Hatta International,CGK,Hasanudin,UPG,415,630,Makassar,Clouds,berawan,24.6,78,1010,2.0,2025-07-28
2025-07-28,Senin,Garuda Indonesia,GA610,Soekarno-Hatta International,CGK,Hasanudin,UPG,415,630,Makassar,Clouds,berawan,24.6,78,1010,2.0,2025-07-28
2025-07-28,Senin,Citilink,QG682,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,480,655,Denpasar,Clear,cerah,27.5,74,1006,3.1,2025-07-28
2025-07-28,Senin,Emirates,EK7258,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,565,675,Padang,Thunderstorm,badai petir,27.4,79,1005,4.0,2025-07-28
2025-07-28,Senin,Etihad Airways,EY7108,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,565,675,Padang,Thunderstorm,badai petir,27.4,79,1005,4.0,2025-07-28
2025-07-28,Senin,Japan Airlines,JL8475,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,565,675,Padang,Thunderstorm,badai petir,27.4,79,1005,4.0,2025-07-28
2025-07-28,Senin,Garuda Indonesia,GA148,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,565,675,Padang,Thunderstorm,badai petir,27.4,79,1005,4.0,2025-07-28
2025-07-28,Senin,Lion Air,JT854,Soekarno-Hatta International,CGK,Hasanudin,UPG,480,680,Makassar,Drizzle,gerimis,33.8,64,1005,1.0,2025-07-28
2025-07-28,Senin,Super Air Jet,IU902,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,575,680,Padang,Rain,hujan ringan,31.5,84,1012,1.6,2025-07-28
2025-07-28,Senin,Lion Air,JT2778,Soekarno-Hatta International,CGK,Hasanudin,UPG,480,680,Makassar,Drizzle,gerimis,33.8,64,1005,1.0,2025-07-28
2025-07-28,Senin,Lion Air,JT892,Soekarno-Hatta International,CGK,Hasanudin,UPG,480,680,Makassar,Drizzle,gerimis,33.8,64,1005,1.0,2025-07-28
2025-07-28,Senin,Lion Air,JT992,Soekarno-Hatta International,CGK,Hasanudin,UPG,480,680,Makassar,Drizzle,gerimis,33.8,64,1005,1.0,2025-07-28
2025-07-28,Senin,Lion Air,JT1994,Soekarno-Hatta International,CGK,Hasanudin,UPG,480,680,Makassar,Drizzle,gerimis,33.8,64,1005,1.0,2025-07-28
2025-07-28,Senin,Batik Air,ID6582,Soekarno-Hatta International,CGK,Juanda,SUB,615,700,Surabaya,Clear,cerah,29.6,89,1015,4.7,2025-07-28
2025-07-28,Senin,Pelita Air,IP102,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,550,720,Denpasar,Thunderstorm,badai petir,32.0,62,1008,2.2,2025-07-28
2025-07-28,Senin,Pelita Air,IP204,Soekarno-Hatta International,CGK,Juanda,SUB,640,735,Surabaya,Clear,cerah,29.6,89,1015,4.7,2025-07-28
2025-07-28,Senin,Batik Air,ID6762,Soekarno-Hatta International,CGK,Hasanudin,UPG,550,750,Makassar,Drizzle,gerimis,33.8,64,1005,1.0,2025-07-28
2025-07-28,Senin,Batik Air,ID6292,Soekarno-Hatta International,CGK,Hasanudin,UPG,550,750,Makassar,Drizzle,gerimis,33.8,64,1005,1.0,2025-07-28
2025-07-28,Senin,Super Air Jet,IU752,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,580,750,Denpasar,Thunderstorm,badai petir,32.0,62,1008,2.2,2025-07-28
2025-07-28,Senin,Vietnam Airlines,VN3794,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,580,755,Denpasar,Thunderstorm,badai petir,32.0,62,1008,2.2,2025-07-28
2025-07-28,Senin,Garuda Indonesia,GA404,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,580,755,Denpasar,Thunderstorm,badai petir,32.0,62,1008,2.2,2025-07-28
2025-07-28,Senin,Saudia,SV6170,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,580,755,Denpasar,Thunderstorm,badai petir,32.0,62,1008,2.2,2025-07-28
2025-07-28,Senin,Batik Air,ID6596,Soekarno-Hatta International,CGK,Juanda,SUB,670,755,Surabaya,Clear,cerah,29.6,89,1015,4.7,2025-07-28
2025-07-28,Senin,Turkish Airlines,TK9366,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,580,755,Denpasar,Thunderstorm,badai petir,32.0,62,1008,2.2,2025-07-28
2025-07-28,Senin,KLM,KL3971,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,580,755,Denpasar,Thunderstorm,badai petir,32.0,62,1008,2.2,2025-07-28
